"ProductName","Provenance","StorageType","Entity","Attribute","DataType","LinkedTo","Property"
"LITE","lite-api","RDBMS-Postgres-Django","background_task","verbose_name","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","licences_licence_decisions","licence_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","last_closed_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","teams_team","alias","text--text","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","applications_applicationdocument","document_ptr_id","uuid--uuid","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","organisation","created_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","organisations_externallocation","location_type","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case_queues","created_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","licences_goodonlicence","quantity","float8--double precision","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","uuid--uuid","cases_case_flags","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","int4--integer","cases_case","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","good","has_security_features","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","sla_days","int2--smallint","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","parties_party","id","varchar--character varying","parties_party_flags","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","flag","id","text--text","cases_case_flags","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","picklists_picklistitem","status","varchar--character varying","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","users_role","id","uuid--uuid","users_role_statuses","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","countries_country","id","int4--integer","cases_goodcountrydecision","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_openapplication","contains_firearm_goods","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","good","id","text--text","goods_query_goodsquery","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","flagging_rule","flag_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","countries_country","id","text--text","address","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","uuid--uuid","cases_case_queues","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","flag","removable_by","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","applications_openapplication","baseapplication_ptr_id","uuid--uuid","applications_countryonapplication","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","licences_licence_decisions","id","int4--integer","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","applications_goodonapplication","id","text--text","applications_goodonapplication_control_list_entries","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","users_exporternotification","organisation_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","flag","id","int4--integer","organisation_flags","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","text--text","users_basenotification","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_openapplication","export_type","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","site","id","uuid--uuid","site","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_partyonapplication","application_id","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","statuses_casestatus","id","varchar--character varying","statuses_casestatuscasetype","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","goods_type","updated_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","django_admin_log","object_id","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","licences_licence","duration","int2--smallint","NONE","CHECK"
"LITE","lite-api","RDBMS-Postgres-Django","django_content_type","id","int4--integer","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","goods_type","id","varchar--character varying","goods_type_countries","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","generated_documents_generatedcasedocument","template_id","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","good","uses_information_security","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","address","region","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","organisation","id","int4--integer","applications_hmrcquery","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","licences_goodonlicence","id","uuid--uuid","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","denial_reasons_denialreason","id","varchar--character varying","advice_denial_reasons","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","open_general_licence_countries","country_id","varchar--character varying","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","applications_goodonapplication","firearm_details_id","int4--integer","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","licences_licence","id","varchar--character varying","licences_licence_hmrc_integration_usage_updates","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","statuses_casestatus","priority","int2--smallint","NONE","CHECK"
"LITE","lite-api","RDBMS-Postgres-Django","report_summaries_reportsummarysubject","code_level","int4--integer","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","users_baseuser","id","int4--integer","users_baseuser_user_permissions","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_f680clearanceapplication","baseapplication_ptr_id","uuid--uuid","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","advice","id","uuid--uuid","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","licences_hmrcintegrationusagedata","id","varchar--character varying","licences_licence_hmrc_integration_usage_updates","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","varchar--character varying","cases_caseassignmentsla","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","external_data_denial","created_by_id","uuid--uuid","NONE","OPTIONAL"
